Scrip,Company Name,MarketCap,Sector,Quantity,Avg Trading Price,
PIDILITIND,Pidilite Inds.,LargeCap,FMCG,5,2303.49,
JUBLINGREA,Jubilant Ingrev.,MidCap,Pharmaceuticals & Drugs,25,501.03,
AMBER,Amber Enterp.,MidCap,Consumer Durables - Electronics,18,2265.10,
METROPOLIS,Metropolis Healt,MidCap,Healthcare Services,6,1524.58,
SUPRAJIT,Suprajit Engg.,SmallCap,Auto Anc,40,348.99,
SONACOMS,Sona BLW Precis.,LargeCap,Castings/Forgings,24,573.38,
FEDERALBNK,Federal Bank,LargeCap,Private Banks,250,84.75,
HDFCBANK,HDFC Bank,LargeCap,Private Banks,6,1366.67,
NEWGEN,Newgen Software,SmallCap,IT - Software,45,356.92,
NATCOPHARM,Natco Pharma,MidCap,Pharma,20,652.42,
LTTS,L&T Technology,LargeCap,IT - Software,10,3337.81,
TATASTEEL,Tata Steel,LargeCap,Steel/Sponge Iron/Pig Iron,1050,96.17,
MARICO,Marico,LargeCap,FMCG,18,514.93,
HCLTECH,HCL Technologies,LargeCap,IT - Software,64,987.03,
DEVYANI,Devyani Intl.,MidCap,Lifestyle,50,164.50,
MPHASIS,Mphasis,LargeCap,IT - Software,10,2188.71,
LTIM,LTI Mindtree,LargeCap,IT - Software,15,3983.36,
ASHOKLEY,Ashok Leyland,LargeCap,Auto - Trucks,276,140.35,
DATAPATTNS,Data Pattern,MidCap,IT - Software,66,723.51,
ITC,ITC,LargeCap,Cigarettes/Tobacco,33,301.18,
AUBANK,AU Small Finance,LargeCap,Private Banks,12,595.48,
COFORGE,Coforge,LargeCap,IT - Software,12,3663.71,
TECHM,Tech Mahindra,LargeCap,IT - Software,66,1088.24,
INFY,Infosys,LargeCap,IT - Software,30,1238.63,
